,game,model,experiment,episode,metric,value
0,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Aborted at Player 1,1.0
1,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Aborted at Player 2,0.0
2,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Generated Expression Length,
3,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Generated Expression Number of Tokens,
4,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Request Count,1.0
5,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Parsed Request Count,0.0
6,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Violated Request Count,1.0
7,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Aborted,1.0
8,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Success,
9,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Lose,
10,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Main Score,
11,referencegame,qwen_SimpleActLoop,letter_grids,episode_00002,Request Success Ratio,0.0
12,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Aborted at Player 1,1.0
13,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Aborted at Player 2,0.0
14,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Generated Expression Length,
15,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Generated Expression Number of Tokens,
16,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Request Count,1.0
17,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Parsed Request Count,0.0
18,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Violated Request Count,1.0
19,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Aborted,1.0
20,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Success,
21,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Lose,
22,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Main Score,
23,referencegame,qwen_SimpleActLoop,letter_grids,episode_00003,Request Success Ratio,0.0
24,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Generated Expression Length,270.0
25,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Generated Expression Number of Tokens,53.0
26,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Aborted at Player 1,0.0
27,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Aborted at Player 2,1.0
28,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Request Count,2.0
29,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Parsed Request Count,1.0
30,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Violated Request Count,1.0
31,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Aborted,1.0
32,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Success,
33,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Lose,
34,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Main Score,
35,referencegame,qwen_SimpleActLoop,letter_grids,episode_00004,Request Success Ratio,0.5
36,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Aborted at Player 1,1.0
37,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Aborted at Player 2,0.0
38,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Generated Expression Length,
39,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Generated Expression Number of Tokens,
40,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Request Count,1.0
41,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Parsed Request Count,0.0
42,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Violated Request Count,1.0
43,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Aborted,1.0
44,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Success,
45,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Lose,
46,referencegame,qwen_SimpleActLoop,letter_grids,episode_00005,Main Score,
