,game,model,experiment,episode,metric,value
0,referencegame,qwen3_baseline,letter_grids,episode_00002,Generated Expression Length,226.0
1,referencegame,qwen3_baseline,letter_grids,episode_00002,Generated Expression Number of Tokens,40.0
2,referencegame,qwen3_baseline,letter_grids,episode_00002,Aborted at Player 1,0.0
3,referencegame,qwen3_baseline,letter_grids,episode_00002,Aborted at Player 2,0.0
4,referencegame,qwen3_baseline,letter_grids,episode_00002,Request Count,2.0
5,referencegame,qwen3_baseline,letter_grids,episode_00002,Parsed Request Count,2.0
6,referencegame,qwen3_baseline,letter_grids,episode_00002,Violated Request Count,0.0
7,referencegame,qwen3_baseline,letter_grids,episode_00002,Aborted,0.0
8,referencegame,qwen3_baseline,letter_grids,episode_00002,Success,1.0
9,referencegame,qwen3_baseline,letter_grids,episode_00002,Lose,0.0
10,referencegame,qwen3_baseline,letter_grids,episode_00002,Main Score,100.0
11,referencegame,qwen3_baseline,letter_grids,episode_00002,Request Success Ratio,1.0
12,referencegame,qwen3_baseline,letter_grids,episode_00003,Generated Expression Length,301.0
13,referencegame,qwen3_baseline,letter_grids,episode_00003,Generated Expression Number of Tokens,60.0
14,referencegame,qwen3_baseline,letter_grids,episode_00003,Aborted at Player 1,0.0
15,referencegame,qwen3_baseline,letter_grids,episode_00003,Aborted at Player 2,0.0
16,referencegame,qwen3_baseline,letter_grids,episode_00003,Request Count,2.0
17,referencegame,qwen3_baseline,letter_grids,episode_00003,Parsed Request Count,2.0
18,referencegame,qwen3_baseline,letter_grids,episode_00003,Violated Request Count,0.0
19,referencegame,qwen3_baseline,letter_grids,episode_00003,Aborted,0.0
20,referencegame,qwen3_baseline,letter_grids,episode_00003,Success,0.0
21,referencegame,qwen3_baseline,letter_grids,episode_00003,Lose,1.0
22,referencegame,qwen3_baseline,letter_grids,episode_00003,Main Score,0.0
23,referencegame,qwen3_baseline,letter_grids,episode_00003,Request Success Ratio,1.0
24,referencegame,qwen3_baseline,letter_grids,episode_00004,Generated Expression Length,371.0
25,referencegame,qwen3_baseline,letter_grids,episode_00004,Generated Expression Number of Tokens,77.0
26,referencegame,qwen3_baseline,letter_grids,episode_00004,Aborted at Player 1,0.0
27,referencegame,qwen3_baseline,letter_grids,episode_00004,Aborted at Player 2,0.0
28,referencegame,qwen3_baseline,letter_grids,episode_00004,Request Count,2.0
29,referencegame,qwen3_baseline,letter_grids,episode_00004,Parsed Request Count,2.0
30,referencegame,qwen3_baseline,letter_grids,episode_00004,Violated Request Count,0.0
31,referencegame,qwen3_baseline,letter_grids,episode_00004,Aborted,0.0
32,referencegame,qwen3_baseline,letter_grids,episode_00004,Success,1.0
33,referencegame,qwen3_baseline,letter_grids,episode_00004,Lose,0.0
34,referencegame,qwen3_baseline,letter_grids,episode_00004,Main Score,100.0
35,referencegame,qwen3_baseline,letter_grids,episode_00004,Request Success Ratio,1.0
36,referencegame,qwen3_baseline,letter_grids,episode_00005,Generated Expression Length,178.0
37,referencegame,qwen3_baseline,letter_grids,episode_00005,Generated Expression Number of Tokens,36.0
38,referencegame,qwen3_baseline,letter_grids,episode_00005,Aborted at Player 1,0.0
39,referencegame,qwen3_baseline,letter_grids,episode_00005,Aborted at Player 2,0.0
40,referencegame,qwen3_baseline,letter_grids,episode_00005,Request Count,2.0
