,game,model,experiment,episode,metric,value
0,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Generated Expression Length,202.0
1,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Generated Expression Number of Tokens,38.0
2,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Aborted at Player 1,0.0
3,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Aborted at Player 2,0.0
4,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Request Count,2.0
5,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Parsed Request Count,2.0
6,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Violated Request Count,0.0
7,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Aborted,0.0
8,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Success,1.0
9,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Lose,0.0
10,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Main Score,100.0
11,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00001,Request Success Ratio,1.0
12,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Generated Expression Length,256.0
13,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Generated Expression Number of Tokens,41.0
14,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Aborted at Player 1,0.0
15,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Aborted at Player 2,0.0
16,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Request Count,2.0
17,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Parsed Request Count,2.0
18,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Violated Request Count,0.0
19,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Aborted,0.0
20,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Success,1.0
21,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Lose,0.0
22,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Main Score,100.0
23,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00002,Request Success Ratio,1.0
24,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Generated Expression Length,253.0
25,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Generated Expression Number of Tokens,46.0
26,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Aborted at Player 1,0.0
27,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Aborted at Player 2,0.0
28,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Request Count,2.0
29,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Parsed Request Count,2.0
30,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Violated Request Count,0.0
31,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Aborted,0.0
32,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Success,0.0
33,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Lose,1.0
34,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Main Score,0.0
35,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00003,Request Success Ratio,1.0
36,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Generated Expression Length,327.0
37,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Generated Expression Number of Tokens,58.0
38,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Aborted at Player 1,0.0
39,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Aborted at Player 2,0.0
40,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Request Count,2.0
41,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Parsed Request Count,2.0
42,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Violated Request Count,0.0
43,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Aborted,0.0
44,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Success,1.0
45,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Lose,0.0
46,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Main Score,100.0
47,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00004,Request Success Ratio,1.0
48,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Generated Expression Length,178.0
49,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Generated Expression Number of Tokens,36.0
50,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Aborted at Player 1,0.0
51,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Aborted at Player 2,0.0
52,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Request Count,2.0
53,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Parsed Request Count,2.0
54,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Violated Request Count,0.0
55,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Aborted,0.0
56,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Success,1.0
57,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Lose,0.0
58,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Main Score,100.0
59,referencegame,NEW_format_checking_clp_chat,letter_grids,episode_00005,Request Success Ratio,1.0
60,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Generated Expression Length,231.0
61,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Generated Expression Number of Tokens,46.0
62,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Aborted at Player 1,0.0
63,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Aborted at Player 2,0.0
64,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Request Count,2.0
65,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Parsed Request Count,2.0
66,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Violated Request Count,0.0
67,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Aborted,0.0
68,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Success,1.0
69,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Lose,0.0
70,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Main Score,100.0
71,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00016,Request Success Ratio,1.0
72,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Generated Expression Length,152.0
73,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Generated Expression Number of Tokens,26.0
74,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Aborted at Player 1,0.0
75,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Aborted at Player 2,0.0
76,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Request Count,2.0
77,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Parsed Request Count,2.0
78,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Violated Request Count,0.0
79,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Aborted,0.0
80,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Success,0.0
81,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Lose,1.0
82,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Main Score,0.0
83,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00017,Request Success Ratio,1.0
84,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Generated Expression Length,177.0
85,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Generated Expression Number of Tokens,32.0
86,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Aborted at Player 1,0.0
87,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Aborted at Player 2,0.0
88,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Request Count,2.0
89,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Parsed Request Count,2.0
90,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Violated Request Count,0.0
91,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Aborted,0.0
92,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Success,1.0
93,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Lose,0.0
94,referencegame,NEW_format_checking_clp_chat,line_grids_columns,episode_00018,Main Score,100.0
