,game,model,experiment,episode,metric,value
0,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Generated Expression Length,145.0
1,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Generated Expression Number of Tokens,26.0
2,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Aborted at Player 1,0.0
3,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Aborted at Player 2,0.0
4,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Request Count,2.0
5,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Parsed Request Count,2.0
6,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Violated Request Count,0.0
7,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Aborted,0.0
8,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Success,1.0
9,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Lose,0.0
10,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Main Score,100.0
11,referencegame,gpt20b_referencegame,letter_grids,episode_00002,Request Success Ratio,1.0
12,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Generated Expression Length,138.0
13,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Generated Expression Number of Tokens,26.0
14,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Aborted at Player 1,0.0
15,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Aborted at Player 2,0.0
16,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Request Count,2.0
17,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Parsed Request Count,2.0
18,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Violated Request Count,0.0
19,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Aborted,0.0
20,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Success,1.0
21,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Lose,0.0
22,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Main Score,100.0
23,referencegame,gpt20b_referencegame,letter_grids,episode_00003,Request Success Ratio,1.0
24,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Generated Expression Length,157.0
25,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Generated Expression Number of Tokens,30.0
26,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Aborted at Player 1,0.0
27,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Aborted at Player 2,0.0
28,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Request Count,2.0
29,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Parsed Request Count,2.0
30,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Violated Request Count,0.0
31,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Aborted,0.0
32,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Success,1.0
33,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Lose,0.0
34,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Main Score,100.0
35,referencegame,gpt20b_referencegame,letter_grids,episode_00004,Request Success Ratio,1.0
36,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Generated Expression Length,119.0
37,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Generated Expression Number of Tokens,22.0
38,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Aborted at Player 1,0.0
39,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Aborted at Player 2,0.0
40,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Request Count,2.0
41,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Parsed Request Count,2.0
42,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Violated Request Count,0.0
43,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Aborted,0.0
44,referencegame,gpt20b_referencegame,letter_grids,episode_00005,Success,1.0
