,game,model,experiment,episode,metric,value
0,taboo,folder,high_en,episode_00002,Violated Request Count,0.0
1,taboo,folder,high_en,episode_00002,Parsed Request Count,3.0
2,taboo,folder,high_en,episode_00002,Request Count,3.0
3,taboo,folder,high_en,episode_00002,Request Success Ratio,1.0
4,taboo,folder,high_en,episode_00002,Aborted,0.0
5,taboo,folder,high_en,episode_00002,Success,0.0
6,taboo,folder,high_en,episode_00002,Lose,1.0
7,taboo,folder,high_en,episode_00002,Main Score,0.0
8,taboo,folder,high_en,episode_00002,Repetition-Guesser,0.0
9,taboo,folder,high_en,episode_00002,Repetition-Describer,0.0
10,taboo,folder,high_en,episode_00003,Violated Request Count,0.0
11,taboo,folder,high_en,episode_00003,Parsed Request Count,2.0
12,taboo,folder,high_en,episode_00003,Request Count,2.0
13,taboo,folder,high_en,episode_00003,Request Success Ratio,1.0
14,taboo,folder,high_en,episode_00003,Aborted,0.0
15,taboo,folder,high_en,episode_00003,Success,1.0
16,taboo,folder,high_en,episode_00003,Lose,0.0
17,taboo,folder,high_en,episode_00003,Main Score,50.0
18,taboo,folder,high_en,episode_00003,Repetition-Guesser,0.0
19,taboo,folder,high_en,episode_00003,Repetition-Describer,0.0
20,taboo,folder,high_en,episode_00004,Violated Request Count,0.0
21,taboo,folder,high_en,episode_00004,Parsed Request Count,3.0
22,taboo,folder,high_en,episode_00004,Request Count,3.0
23,taboo,folder,high_en,episode_00004,Request Success Ratio,1.0
24,taboo,folder,high_en,episode_00004,Aborted,0.0
25,taboo,folder,high_en,episode_00004,Success,1.0
26,taboo,folder,high_en,episode_00004,Lose,0.0
27,taboo,folder,high_en,episode_00004,Main Score,33.333333333333336
28,taboo,folder,high_en,episode_00004,Repetition-Guesser,0.0
29,taboo,folder,high_en,episode_00004,Repetition-Describer,0.0
30,taboo,folder,high_en,episode_00005,Violated Request Count,0.0
31,taboo,folder,high_en,episode_00005,Parsed Request Count,3.0
32,taboo,folder,high_en,episode_00005,Request Count,3.0
33,taboo,folder,high_en,episode_00005,Request Success Ratio,1.0
34,taboo,folder,high_en,episode_00005,Aborted,0.0
35,taboo,folder,high_en,episode_00005,Success,0.0
36,taboo,folder,high_en,episode_00005,Lose,1.0
37,taboo,folder,high_en,episode_00005,Main Score,0.0
38,taboo,folder,high_en,episode_00005,Repetition-Guesser,0.0
39,taboo,folder,high_en,episode_00005,Repetition-Describer,0.0
40,taboo,folder,low_en,episode_00011,Violated Request Count,0.0
41,taboo,folder,low_en,episode_00011,Parsed Request Count,1.0
42,taboo,folder,low_en,episode_00011,Request Count,1.0
43,taboo,folder,low_en,episode_00011,Request Success Ratio,1.0
44,taboo,folder,low_en,episode_00011,Aborted,0.0
45,taboo,folder,low_en,episode_00011,Success,1.0
