,game,model,experiment,episode,metric,value
0,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Generated Expression Length,145.0
1,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Generated Expression Number of Tokens,26.0
2,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Aborted at Player 1,0.0
3,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Aborted at Player 2,0.0
4,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Request Count,2.0
5,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Parsed Request Count,2.0
6,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Violated Request Count,0.0
7,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Aborted,0.0
8,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Success,1.0
9,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Lose,0.0
10,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Main Score,100.0
11,referencegame,baseline_gpt20boss,letter_grids,episode_00002,Request Success Ratio,1.0
12,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Generated Expression Length,138.0
13,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Generated Expression Number of Tokens,26.0
14,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Aborted at Player 1,0.0
15,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Aborted at Player 2,0.0
16,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Request Count,2.0
17,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Parsed Request Count,2.0
18,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Violated Request Count,0.0
19,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Aborted,0.0
20,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Success,1.0
21,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Lose,0.0
22,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Main Score,100.0
23,referencegame,baseline_gpt20boss,letter_grids,episode_00003,Request Success Ratio,1.0
24,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Generated Expression Length,157.0
25,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Generated Expression Number of Tokens,30.0
26,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Aborted at Player 1,0.0
27,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Aborted at Player 2,0.0
28,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Request Count,2.0
29,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Parsed Request Count,2.0
30,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Violated Request Count,0.0
31,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Aborted,0.0
32,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Success,1.0
33,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Lose,0.0
34,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Main Score,100.0
35,referencegame,baseline_gpt20boss,letter_grids,episode_00004,Request Success Ratio,1.0
36,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Generated Expression Length,119.0
37,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Generated Expression Number of Tokens,22.0
38,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Aborted at Player 1,0.0
39,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Aborted at Player 2,0.0
40,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Request Count,2.0
41,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Parsed Request Count,2.0
42,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Violated Request Count,0.0
43,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Aborted,0.0
44,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Success,1.0
45,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Lose,0.0
46,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Main Score,100.0
47,referencegame,baseline_gpt20boss,letter_grids,episode_00005,Request Success Ratio,1.0
48,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Generated Expression Length,134.0
49,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Generated Expression Number of Tokens,26.0
50,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Aborted at Player 1,0.0
51,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Aborted at Player 2,0.0
52,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Request Count,2.0
53,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Parsed Request Count,2.0
54,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Violated Request Count,0.0
55,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Aborted,0.0
56,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Success,1.0
57,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Lose,0.0
58,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Main Score,100.0
59,referencegame,baseline_gpt20boss,line_grids_columns,episode_00016,Request Success Ratio,1.0
60,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Generated Expression Length,93.0
61,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Generated Expression Number of Tokens,17.0
62,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Aborted at Player 1,0.0
63,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Aborted at Player 2,0.0
64,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Request Count,2.0
65,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Parsed Request Count,2.0
66,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Violated Request Count,0.0
67,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Aborted,0.0
68,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Success,1.0
69,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Lose,0.0
70,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Main Score,100.0
71,referencegame,baseline_gpt20boss,line_grids_columns,episode_00017,Request Success Ratio,1.0
72,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Generated Expression Length,129.0
73,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Generated Expression Number of Tokens,24.0
74,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Aborted at Player 1,0.0
75,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Aborted at Player 2,0.0
76,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Request Count,2.0
77,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Parsed Request Count,2.0
78,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Violated Request Count,0.0
79,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Aborted,0.0
80,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Success,0.0
81,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Lose,1.0
82,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Main Score,0.0
83,referencegame,baseline_gpt20boss,line_grids_columns,episode_00018,Request Success Ratio,1.0
84,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Generated Expression Length,79.0
85,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Generated Expression Number of Tokens,17.0
86,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Aborted at Player 1,0.0
87,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Aborted at Player 2,0.0
88,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Request Count,2.0
89,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Parsed Request Count,2.0
90,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Violated Request Count,0.0
91,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Aborted,0.0
92,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Success,0.0
93,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Lose,1.0
94,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Main Score,0.0
95,referencegame,baseline_gpt20boss,line_grids_columns,episode_00019,Request Success Ratio,1.0
96,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Generated Expression Length,79.0
97,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Generated Expression Number of Tokens,17.0
98,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Aborted at Player 1,0.0
99,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Aborted at Player 2,0.0
100,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Request Count,2.0
101,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Parsed Request Count,2.0
102,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Violated Request Count,0.0
103,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Aborted,0.0
104,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Success,1.0
105,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Lose,0.0
106,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Main Score,100.0
107,referencegame,baseline_gpt20boss,line_grids_columns,episode_00020,Request Success Ratio,1.0
108,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Generated Expression Length,71.0
109,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Generated Expression Number of Tokens,14.0
110,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Aborted at Player 1,0.0
111,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Aborted at Player 2,0.0
112,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Request Count,2.0
113,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Parsed Request Count,2.0
114,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Violated Request Count,0.0
115,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Aborted,0.0
116,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Success,1.0
117,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Lose,0.0
118,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Main Score,100.0
119,referencegame,baseline_gpt20boss,line_grids_rows,episode_00011,Request Success Ratio,1.0
120,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Generated Expression Length,71.0
121,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Generated Expression Number of Tokens,14.0
122,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Aborted at Player 1,0.0
123,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Aborted at Player 2,0.0
124,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Request Count,2.0
125,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Parsed Request Count,2.0
126,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Violated Request Count,0.0
127,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Aborted,0.0
128,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Success,1.0
129,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Lose,0.0
130,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Main Score,100.0
131,referencegame,baseline_gpt20boss,line_grids_rows,episode_00012,Request Success Ratio,1.0
132,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Generated Expression Length,71.0
133,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Generated Expression Number of Tokens,14.0
134,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Aborted at Player 1,0.0
135,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Aborted at Player 2,0.0
136,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Request Count,2.0
137,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Parsed Request Count,2.0
138,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Violated Request Count,0.0
139,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Aborted,0.0
140,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Success,1.0
141,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Lose,0.0
142,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Main Score,100.0
143,referencegame,baseline_gpt20boss,line_grids_rows,episode_00013,Request Success Ratio,1.0
144,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Generated Expression Length,87.0
145,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Generated Expression Number of Tokens,15.0
146,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Aborted at Player 1,0.0
147,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Aborted at Player 2,0.0
148,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Request Count,2.0
149,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Parsed Request Count,2.0
150,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Violated Request Count,0.0
151,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Aborted,0.0
152,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Success,0.0
153,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Lose,1.0
154,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Main Score,0.0
155,referencegame,baseline_gpt20boss,line_grids_rows,episode_00014,Request Success Ratio,1.0
156,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Generated Expression Length,89.0
157,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Generated Expression Number of Tokens,16.0
158,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Aborted at Player 1,0.0
159,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Aborted at Player 2,0.0
160,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Request Count,2.0
161,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Parsed Request Count,2.0
162,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Violated Request Count,0.0
163,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Aborted,0.0
164,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Success,1.0
165,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Lose,0.0
166,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Main Score,100.0
167,referencegame,baseline_gpt20boss,line_grids_rows,episode_00015,Request Success Ratio,1.0
168,referencegame,baseline_gpt20boss,number_grids,episode_00006,Generated Expression Length,188.0
169,referencegame,baseline_gpt20boss,number_grids,episode_00006,Generated Expression Number of Tokens,36.0
170,referencegame,baseline_gpt20boss,number_grids,episode_00006,Aborted at Player 1,0.0
171,referencegame,baseline_gpt20boss,number_grids,episode_00006,Aborted at Player 2,0.0
172,referencegame,baseline_gpt20boss,number_grids,episode_00006,Request Count,2.0
173,referencegame,baseline_gpt20boss,number_grids,episode_00006,Parsed Request Count,2.0
174,referencegame,baseline_gpt20boss,number_grids,episode_00006,Violated Request Count,0.0
175,referencegame,baseline_gpt20boss,number_grids,episode_00006,Aborted,0.0
176,referencegame,baseline_gpt20boss,number_grids,episode_00006,Success,1.0
177,referencegame,baseline_gpt20boss,number_grids,episode_00006,Lose,0.0
178,referencegame,baseline_gpt20boss,number_grids,episode_00006,Main Score,100.0
179,referencegame,baseline_gpt20boss,number_grids,episode_00006,Request Success Ratio,1.0
180,referencegame,baseline_gpt20boss,number_grids,episode_00007,Generated Expression Length,188.0
181,referencegame,baseline_gpt20boss,number_grids,episode_00007,Generated Expression Number of Tokens,36.0
182,referencegame,baseline_gpt20boss,number_grids,episode_00007,Aborted at Player 1,0.0
183,referencegame,baseline_gpt20boss,number_grids,episode_00007,Aborted at Player 2,1.0
184,referencegame,baseline_gpt20boss,number_grids,episode_00007,Request Count,2.0
185,referencegame,baseline_gpt20boss,number_grids,episode_00007,Parsed Request Count,1.0
186,referencegame,baseline_gpt20boss,number_grids,episode_00007,Violated Request Count,1.0
187,referencegame,baseline_gpt20boss,number_grids,episode_00007,Aborted,1.0
188,referencegame,baseline_gpt20boss,number_grids,episode_00007,Success,
189,referencegame,baseline_gpt20boss,number_grids,episode_00007,Lose,
190,referencegame,baseline_gpt20boss,number_grids,episode_00007,Main Score,
191,referencegame,baseline_gpt20boss,number_grids,episode_00007,Request Success Ratio,0.5
192,referencegame,baseline_gpt20boss,number_grids,episode_00008,Generated Expression Length,165.0
193,referencegame,baseline_gpt20boss,number_grids,episode_00008,Generated Expression Number of Tokens,29.0
194,referencegame,baseline_gpt20boss,number_grids,episode_00008,Aborted at Player 1,0.0
195,referencegame,baseline_gpt20boss,number_grids,episode_00008,Aborted at Player 2,0.0
196,referencegame,baseline_gpt20boss,number_grids,episode_00008,Request Count,2.0
197,referencegame,baseline_gpt20boss,number_grids,episode_00008,Parsed Request Count,2.0
198,referencegame,baseline_gpt20boss,number_grids,episode_00008,Violated Request Count,0.0
199,referencegame,baseline_gpt20boss,number_grids,episode_00008,Aborted,0.0
200,referencegame,baseline_gpt20boss,number_grids,episode_00008,Success,0.0
201,referencegame,baseline_gpt20boss,number_grids,episode_00008,Lose,1.0
202,referencegame,baseline_gpt20boss,number_grids,episode_00008,Main Score,0.0
203,referencegame,baseline_gpt20boss,number_grids,episode_00008,Request Success Ratio,1.0
204,referencegame,baseline_gpt20boss,number_grids,episode_00009,Generated Expression Length,119.0
205,referencegame,baseline_gpt20boss,number_grids,episode_00009,Generated Expression Number of Tokens,21.0
206,referencegame,baseline_gpt20boss,number_grids,episode_00009,Aborted at Player 1,0.0
207,referencegame,baseline_gpt20boss,number_grids,episode_00009,Aborted at Player 2,0.0
208,referencegame,baseline_gpt20boss,number_grids,episode_00009,Request Count,2.0
209,referencegame,baseline_gpt20boss,number_grids,episode_00009,Parsed Request Count,2.0
210,referencegame,baseline_gpt20boss,number_grids,episode_00009,Violated Request Count,0.0
211,referencegame,baseline_gpt20boss,number_grids,episode_00009,Aborted,0.0
212,referencegame,baseline_gpt20boss,number_grids,episode_00009,Success,1.0
213,referencegame,baseline_gpt20boss,number_grids,episode_00009,Lose,0.0
214,referencegame,baseline_gpt20boss,number_grids,episode_00009,Main Score,100.0
215,referencegame,baseline_gpt20boss,number_grids,episode_00009,Request Success Ratio,1.0
216,referencegame,baseline_gpt20boss,number_grids,episode_00010,Generated Expression Length,78.0
217,referencegame,baseline_gpt20boss,number_grids,episode_00010,Generated Expression Number of Tokens,17.0
218,referencegame,baseline_gpt20boss,number_grids,episode_00010,Aborted at Player 1,0.0
219,referencegame,baseline_gpt20boss,number_grids,episode_00010,Aborted at Player 2,0.0
220,referencegame,baseline_gpt20boss,number_grids,episode_00010,Request Count,2.0
221,referencegame,baseline_gpt20boss,number_grids,episode_00010,Parsed Request Count,2.0
222,referencegame,baseline_gpt20boss,number_grids,episode_00010,Violated Request Count,0.0
223,referencegame,baseline_gpt20boss,number_grids,episode_00010,Aborted,0.0
224,referencegame,baseline_gpt20boss,number_grids,episode_00010,Success,1.0
225,referencegame,baseline_gpt20boss,number_grids,episode_00010,Lose,0.0
226,referencegame,baseline_gpt20boss,number_grids,episode_00010,Main Score,100.0
227,referencegame,baseline_gpt20boss,number_grids,episode_00010,Request Success Ratio,1.0
228,referencegame,baseline_gpt20boss,random_grids,episode_00021,Generated Expression Length,84.0
229,referencegame,baseline_gpt20boss,random_grids,episode_00021,Generated Expression Number of Tokens,17.0
230,referencegame,baseline_gpt20boss,random_grids,episode_00021,Aborted at Player 1,0.0
231,referencegame,baseline_gpt20boss,random_grids,episode_00021,Aborted at Player 2,0.0
232,referencegame,baseline_gpt20boss,random_grids,episode_00021,Request Count,2.0
233,referencegame,baseline_gpt20boss,random_grids,episode_00021,Parsed Request Count,2.0
234,referencegame,baseline_gpt20boss,random_grids,episode_00021,Violated Request Count,0.0
235,referencegame,baseline_gpt20boss,random_grids,episode_00021,Aborted,0.0
236,referencegame,baseline_gpt20boss,random_grids,episode_00021,Success,1.0
237,referencegame,baseline_gpt20boss,random_grids,episode_00021,Lose,0.0
238,referencegame,baseline_gpt20boss,random_grids,episode_00021,Main Score,100.0
239,referencegame,baseline_gpt20boss,random_grids,episode_00021,Request Success Ratio,1.0
240,referencegame,baseline_gpt20boss,random_grids,episode_00022,Generated Expression Length,75.0
241,referencegame,baseline_gpt20boss,random_grids,episode_00022,Generated Expression Number of Tokens,13.0
242,referencegame,baseline_gpt20boss,random_grids,episode_00022,Aborted at Player 1,0.0
243,referencegame,baseline_gpt20boss,random_grids,episode_00022,Aborted at Player 2,0.0
244,referencegame,baseline_gpt20boss,random_grids,episode_00022,Request Count,2.0
245,referencegame,baseline_gpt20boss,random_grids,episode_00022,Parsed Request Count,2.0
246,referencegame,baseline_gpt20boss,random_grids,episode_00022,Violated Request Count,0.0
247,referencegame,baseline_gpt20boss,random_grids,episode_00022,Aborted,0.0
248,referencegame,baseline_gpt20boss,random_grids,episode_00022,Success,1.0
249,referencegame,baseline_gpt20boss,random_grids,episode_00022,Lose,0.0
250,referencegame,baseline_gpt20boss,random_grids,episode_00022,Main Score,100.0
251,referencegame,baseline_gpt20boss,random_grids,episode_00022,Request Success Ratio,1.0
