,game,model,experiment,episode,metric,value
0,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,Violated Request Count,0.0
1,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,Parsed Request Count,3.0
2,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,Request Count,3.0
3,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,Request Success Ratio,1.0
4,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,hallucination_count,1.0
5,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,action_parsing_fail,0.0
6,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,action_resolution_fail,0.0
7,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,lark_exception,0.0
8,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,malformed_command,0.0
9,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_action_verb,0.0
10,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_action,0.0
11,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_repr_str,0.0
12,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,manipulating_room,0.0
13,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_argument_type,0.0
14,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,taking_from_inventory,0.0
15,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,other_room_argument,0.0
16,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,domain_trait_type_mismatch,0.0
17,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,domain_type_discrepancy,0.0
18,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,world_state_discrepancy,0.0
19,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,entity_not_accessible,0.0
20,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,entity_state_mismatch,0.0
21,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,entity_trait_mismatch,0.0
22,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,entity_already_inventory,0.0
23,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,going_to_current_room,0.0
24,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,no_exit_to,0.0
25,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,inventory_limit_exceeded,0.0
26,adventuregame,baseline_clp_chat,home_deliver_three_basic_easy,episode_00001,successful_actions,3.0
