,game,model,experiment,episode,metric,value
0,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,Violated Request Count,0.0
1,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,Parsed Request Count,50.0
2,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,Request Count,50.0
3,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,Request Success Ratio,1.0
4,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,hallucination_count,0.0
5,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,action_parsing_fail,0.0
6,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,action_resolution_fail,33.0
7,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,lark_exception,0.0
8,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,malformed_command,0.0
9,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_action_verb,0.0
10,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_action,0.0
11,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_repr_str,0.0
12,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,manipulating_room,0.0
13,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,undefined_argument_type,0.0
14,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,taking_from_inventory,0.0
15,adventuregame,NEW_FormatCheckingAgent_LLM_judge_clp_chat,home_deliver_three_basic_easy,episode_00001,other_room_argument,0.0
