,game,model,experiment,episode,metric,value
0,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Generated Expression Length,176.0
1,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Generated Expression Number of Tokens,34.0
2,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Aborted at Player 1,0.0
3,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Aborted at Player 2,0.0
4,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Request Count,2.0
5,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Parsed Request Count,2.0
6,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Violated Request Count,0.0
7,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Aborted,0.0
8,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Success,1.0
9,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Lose,0.0
10,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Main Score,100.0
11,referencegame,agent_core_tools_qwen3,letter_grids,episode_00001,Request Success Ratio,1.0
12,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Generated Expression Length,124.0
13,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Generated Expression Number of Tokens,21.0
14,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Aborted at Player 1,0.0
15,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Aborted at Player 2,0.0
16,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Request Count,2.0
17,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Parsed Request Count,2.0
18,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Violated Request Count,0.0
19,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Aborted,0.0
20,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Success,1.0
21,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Lose,0.0
22,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Main Score,100.0
23,referencegame,agent_core_tools_qwen3,letter_grids,episode_00002,Request Success Ratio,1.0
24,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Generated Expression Length,150.0
25,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Generated Expression Number of Tokens,26.0
26,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Aborted at Player 1,0.0
27,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Aborted at Player 2,0.0
28,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Request Count,2.0
29,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Parsed Request Count,2.0
30,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Violated Request Count,0.0
31,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Aborted,0.0
32,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Success,0.0
33,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Lose,1.0
34,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Main Score,0.0
35,referencegame,agent_core_tools_qwen3,letter_grids,episode_00003,Request Success Ratio,1.0
36,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Generated Expression Length,260.0
37,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Generated Expression Number of Tokens,43.0
38,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Aborted at Player 1,0.0
39,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Aborted at Player 2,0.0
40,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Request Count,2.0
41,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Parsed Request Count,2.0
42,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Violated Request Count,0.0
43,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Aborted,0.0
44,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Success,1.0
45,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Lose,0.0
46,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Main Score,100.0
47,referencegame,agent_core_tools_qwen3,letter_grids,episode_00004,Request Success Ratio,1.0
48,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Generated Expression Length,208.0
49,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Generated Expression Number of Tokens,40.0
50,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Aborted at Player 1,0.0
51,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Aborted at Player 2,0.0
52,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Request Count,2.0
53,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Parsed Request Count,2.0
54,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Violated Request Count,0.0
55,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Aborted,0.0
56,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Success,1.0
57,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Lose,0.0
58,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Main Score,100.0
59,referencegame,agent_core_tools_qwen3,letter_grids,episode_00005,Request Success Ratio,1.0
60,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Generated Expression Length,172.0
61,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Generated Expression Number of Tokens,31.0
62,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Aborted at Player 1,0.0
63,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Aborted at Player 2,0.0
64,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Request Count,2.0
65,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Parsed Request Count,2.0
66,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Violated Request Count,0.0
67,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Aborted,0.0
68,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Success,1.0
69,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Lose,0.0
70,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Main Score,100.0
71,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00016,Request Success Ratio,1.0
72,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Generated Expression Length,127.0
73,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Generated Expression Number of Tokens,24.0
74,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Aborted at Player 1,0.0
75,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Aborted at Player 2,0.0
76,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Request Count,2.0
77,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Parsed Request Count,2.0
78,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Violated Request Count,0.0
79,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Aborted,0.0
80,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Success,1.0
81,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Lose,0.0
82,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Main Score,100.0
83,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00017,Request Success Ratio,1.0
84,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Generated Expression Length,113.0
85,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Generated Expression Number of Tokens,23.0
86,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Aborted at Player 1,0.0
87,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Aborted at Player 2,0.0
88,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Request Count,2.0
89,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Parsed Request Count,2.0
90,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Violated Request Count,0.0
91,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Aborted,0.0
92,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Success,1.0
93,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Lose,0.0
94,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Main Score,100.0
95,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00018,Request Success Ratio,1.0
96,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Generated Expression Length,138.0
97,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Generated Expression Number of Tokens,22.0
98,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Aborted at Player 1,0.0
99,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Aborted at Player 2,0.0
100,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Request Count,2.0
101,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Parsed Request Count,2.0
102,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Violated Request Count,0.0
103,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Aborted,0.0
104,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Success,1.0
105,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Lose,0.0
106,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Main Score,100.0
107,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00019,Request Success Ratio,1.0
108,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Generated Expression Length,99.0
109,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Generated Expression Number of Tokens,19.0
110,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Aborted at Player 1,0.0
111,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Aborted at Player 2,0.0
112,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Request Count,2.0
113,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Parsed Request Count,2.0
114,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Violated Request Count,0.0
115,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Aborted,0.0
116,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Success,0.0
117,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Lose,1.0
118,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Main Score,0.0
119,referencegame,agent_core_tools_qwen3,line_grids_columns,episode_00020,Request Success Ratio,1.0
120,referencegame,agent_core_tools_qwen3,line_grids_rows,episode_00011,Generated Expression Length,101.0
121,referencegame,agent_core_tools_qwen3,line_grids_rows,episode_00011,Generated Expression Number of Tokens,18.0
122,referencegame,agent_core_tools_qwen3,line_grids_rows,episode_00011,Aborted at Player 1,0.0
123,referencegame,agent_core_tools_qwen3,line_grids_rows,episode_00011,Aborted at Player 2,0.0
