,game,model,experiment,episode,metric,value
0,referencegame,baselineagain,letter_grids,episode_00001,Generated Expression Length,196.0
1,referencegame,baselineagain,letter_grids,episode_00001,Generated Expression Number of Tokens,40.0
2,referencegame,baselineagain,letter_grids,episode_00001,Aborted at Player 1,0.0
3,referencegame,baselineagain,letter_grids,episode_00001,Aborted at Player 2,0.0
4,referencegame,baselineagain,letter_grids,episode_00001,Request Count,2.0
5,referencegame,baselineagain,letter_grids,episode_00001,Parsed Request Count,2.0
6,referencegame,baselineagain,letter_grids,episode_00001,Violated Request Count,0.0
7,referencegame,baselineagain,letter_grids,episode_00001,Aborted,0.0
8,referencegame,baselineagain,letter_grids,episode_00001,Success,1.0
9,referencegame,baselineagain,letter_grids,episode_00001,Lose,0.0
10,referencegame,baselineagain,letter_grids,episode_00001,Main Score,100.0
11,referencegame,baselineagain,letter_grids,episode_00001,Request Success Ratio,1.0
12,referencegame,baselineagain,letter_grids,episode_00002,Generated Expression Length,134.0
13,referencegame,baselineagain,letter_grids,episode_00002,Generated Expression Number of Tokens,24.0
14,referencegame,baselineagain,letter_grids,episode_00002,Aborted at Player 1,0.0
15,referencegame,baselineagain,letter_grids,episode_00002,Aborted at Player 2,0.0
16,referencegame,baselineagain,letter_grids,episode_00002,Request Count,2.0
17,referencegame,baselineagain,letter_grids,episode_00002,Parsed Request Count,2.0
18,referencegame,baselineagain,letter_grids,episode_00002,Violated Request Count,0.0
19,referencegame,baselineagain,letter_grids,episode_00002,Aborted,0.0
20,referencegame,baselineagain,letter_grids,episode_00002,Success,1.0
21,referencegame,baselineagain,letter_grids,episode_00002,Lose,0.0
22,referencegame,baselineagain,letter_grids,episode_00002,Main Score,100.0
23,referencegame,baselineagain,letter_grids,episode_00002,Request Success Ratio,1.0
24,referencegame,baselineagain,letter_grids,episode_00003,Generated Expression Length,169.0
25,referencegame,baselineagain,letter_grids,episode_00003,Generated Expression Number of Tokens,32.0
26,referencegame,baselineagain,letter_grids,episode_00003,Aborted at Player 1,0.0
27,referencegame,baselineagain,letter_grids,episode_00003,Aborted at Player 2,0.0
28,referencegame,baselineagain,letter_grids,episode_00003,Request Count,2.0
