,game,model,experiment,episode,metric,value
0,referencegame,folder,letter_grids,episode_00002,Generated Expression Length,155.0
1,referencegame,folder,letter_grids,episode_00002,Generated Expression Number of Tokens,27.0
2,referencegame,folder,letter_grids,episode_00002,Aborted at Player 1,0.0
3,referencegame,folder,letter_grids,episode_00002,Aborted at Player 2,0.0
4,referencegame,folder,letter_grids,episode_00002,Request Count,2.0
5,referencegame,folder,letter_grids,episode_00002,Parsed Request Count,2.0
6,referencegame,folder,letter_grids,episode_00002,Violated Request Count,0.0
7,referencegame,folder,letter_grids,episode_00002,Aborted,0.0
8,referencegame,folder,letter_grids,episode_00002,Success,1.0
9,referencegame,folder,letter_grids,episode_00002,Lose,0.0
10,referencegame,folder,letter_grids,episode_00002,Main Score,100.0
11,referencegame,folder,letter_grids,episode_00002,Request Success Ratio,1.0
12,referencegame,folder,letter_grids,episode_00003,Generated Expression Length,139.0
13,referencegame,folder,letter_grids,episode_00003,Generated Expression Number of Tokens,27.0
14,referencegame,folder,letter_grids,episode_00003,Aborted at Player 1,0.0
15,referencegame,folder,letter_grids,episode_00003,Aborted at Player 2,0.0
16,referencegame,folder,letter_grids,episode_00003,Request Count,2.0
17,referencegame,folder,letter_grids,episode_00003,Parsed Request Count,2.0
18,referencegame,folder,letter_grids,episode_00003,Violated Request Count,0.0
19,referencegame,folder,letter_grids,episode_00003,Aborted,0.0
20,referencegame,folder,letter_grids,episode_00003,Success,1.0
21,referencegame,folder,letter_grids,episode_00003,Lose,0.0
22,referencegame,folder,letter_grids,episode_00003,Main Score,100.0
23,referencegame,folder,letter_grids,episode_00003,Request Success Ratio,1.0
24,referencegame,folder,letter_grids,episode_00004,Generated Expression Length,168.0
25,referencegame,folder,letter_grids,episode_00004,Generated Expression Number of Tokens,34.0
26,referencegame,folder,letter_grids,episode_00004,Aborted at Player 1,0.0
27,referencegame,folder,letter_grids,episode_00004,Aborted at Player 2,0.0
28,referencegame,folder,letter_grids,episode_00004,Request Count,2.0
29,referencegame,folder,letter_grids,episode_00004,Parsed Request Count,2.0
30,referencegame,folder,letter_grids,episode_00004,Violated Request Count,0.0
31,referencegame,folder,letter_grids,episode_00004,Aborted,0.0
32,referencegame,folder,letter_grids,episode_00004,Success,0.0
33,referencegame,folder,letter_grids,episode_00004,Lose,1.0
34,referencegame,folder,letter_grids,episode_00004,Main Score,0.0
35,referencegame,folder,letter_grids,episode_00004,Request Success Ratio,1.0
36,referencegame,folder,letter_grids,episode_00005,Generated Expression Length,213.0
37,referencegame,folder,letter_grids,episode_00005,Generated Expression Number of Tokens,39.0
38,referencegame,folder,letter_grids,episode_00005,Aborted at Player 1,0.0
39,referencegame,folder,letter_grids,episode_00005,Aborted at Player 2,0.0
40,referencegame,folder,letter_grids,episode_00005,Request Count,2.0
41,referencegame,folder,letter_grids,episode_00005,Parsed Request Count,2.0
42,referencegame,folder,letter_grids,episode_00005,Violated Request Count,0.0
43,referencegame,folder,letter_grids,episode_00005,Aborted,0.0
44,referencegame,folder,letter_grids,episode_00005,Success,0.0
45,referencegame,folder,letter_grids,episode_00005,Lose,1.0
46,referencegame,folder,letter_grids,episode_00005,Main Score,0.0
47,referencegame,folder,letter_grids,episode_00005,Request Success Ratio,1.0
48,referencegame,folder,line_grids_columns,episode_00016,Generated Expression Length,149.0
49,referencegame,folder,line_grids_columns,episode_00016,Generated Expression Number of Tokens,26.0
50,referencegame,folder,line_grids_columns,episode_00016,Aborted at Player 1,0.0
51,referencegame,folder,line_grids_columns,episode_00016,Aborted at Player 2,0.0
52,referencegame,folder,line_grids_columns,episode_00016,Request Count,2.0
53,referencegame,folder,line_grids_columns,episode_00016,Parsed Request Count,2.0
54,referencegame,folder,line_grids_columns,episode_00016,Violated Request Count,0.0
55,referencegame,folder,line_grids_columns,episode_00016,Aborted,0.0
56,referencegame,folder,line_grids_columns,episode_00016,Success,1.0
57,referencegame,folder,line_grids_columns,episode_00016,Lose,0.0
58,referencegame,folder,line_grids_columns,episode_00016,Main Score,100.0
59,referencegame,folder,line_grids_columns,episode_00016,Request Success Ratio,1.0
60,referencegame,folder,line_grids_columns,episode_00017,Generated Expression Length,162.0
61,referencegame,folder,line_grids_columns,episode_00017,Generated Expression Number of Tokens,28.0
62,referencegame,folder,line_grids_columns,episode_00017,Aborted at Player 1,0.0
63,referencegame,folder,line_grids_columns,episode_00017,Aborted at Player 2,0.0
64,referencegame,folder,line_grids_columns,episode_00017,Request Count,2.0
65,referencegame,folder,line_grids_columns,episode_00017,Parsed Request Count,2.0
66,referencegame,folder,line_grids_columns,episode_00017,Violated Request Count,0.0
67,referencegame,folder,line_grids_columns,episode_00017,Aborted,0.0
68,referencegame,folder,line_grids_columns,episode_00017,Success,1.0
69,referencegame,folder,line_grids_columns,episode_00017,Lose,0.0
70,referencegame,folder,line_grids_columns,episode_00017,Main Score,100.0
71,referencegame,folder,line_grids_columns,episode_00017,Request Success Ratio,1.0
72,referencegame,folder,line_grids_columns,episode_00018,Generated Expression Length,160.0
73,referencegame,folder,line_grids_columns,episode_00018,Generated Expression Number of Tokens,29.0
74,referencegame,folder,line_grids_columns,episode_00018,Aborted at Player 1,0.0
75,referencegame,folder,line_grids_columns,episode_00018,Aborted at Player 2,0.0
76,referencegame,folder,line_grids_columns,episode_00018,Request Count,2.0
77,referencegame,folder,line_grids_columns,episode_00018,Parsed Request Count,2.0
78,referencegame,folder,line_grids_columns,episode_00018,Violated Request Count,0.0
79,referencegame,folder,line_grids_columns,episode_00018,Aborted,0.0
80,referencegame,folder,line_grids_columns,episode_00018,Success,0.0
81,referencegame,folder,line_grids_columns,episode_00018,Lose,1.0
82,referencegame,folder,line_grids_columns,episode_00018,Main Score,0.0
83,referencegame,folder,line_grids_columns,episode_00018,Request Success Ratio,1.0
84,referencegame,folder,line_grids_columns,episode_00019,Generated Expression Length,122.0
85,referencegame,folder,line_grids_columns,episode_00019,Generated Expression Number of Tokens,22.0
86,referencegame,folder,line_grids_columns,episode_00019,Aborted at Player 1,0.0
87,referencegame,folder,line_grids_columns,episode_00019,Aborted at Player 2,0.0
88,referencegame,folder,line_grids_columns,episode_00019,Request Count,2.0
89,referencegame,folder,line_grids_columns,episode_00019,Parsed Request Count,2.0
90,referencegame,folder,line_grids_columns,episode_00019,Violated Request Count,0.0
91,referencegame,folder,line_grids_columns,episode_00019,Aborted,0.0
92,referencegame,folder,line_grids_columns,episode_00019,Success,1.0
93,referencegame,folder,line_grids_columns,episode_00019,Lose,0.0
94,referencegame,folder,line_grids_columns,episode_00019,Main Score,100.0
95,referencegame,folder,line_grids_columns,episode_00019,Request Success Ratio,1.0
96,referencegame,folder,line_grids_columns,episode_00020,Generated Expression Length,210.0
97,referencegame,folder,line_grids_columns,episode_00020,Generated Expression Number of Tokens,37.0
98,referencegame,folder,line_grids_columns,episode_00020,Aborted at Player 1,0.0
99,referencegame,folder,line_grids_columns,episode_00020,Aborted at Player 2,0.0
100,referencegame,folder,line_grids_columns,episode_00020,Request Count,2.0
101,referencegame,folder,line_grids_columns,episode_00020,Parsed Request Count,2.0
102,referencegame,folder,line_grids_columns,episode_00020,Violated Request Count,0.0
103,referencegame,folder,line_grids_columns,episode_00020,Aborted,0.0
104,referencegame,folder,line_grids_columns,episode_00020,Success,0.0
105,referencegame,folder,line_grids_columns,episode_00020,Lose,1.0
106,referencegame,folder,line_grids_columns,episode_00020,Main Score,0.0
107,referencegame,folder,line_grids_columns,episode_00020,Request Success Ratio,1.0
108,referencegame,folder,line_grids_rows,episode_00011,Generated Expression Length,114.0
109,referencegame,folder,line_grids_rows,episode_00011,Generated Expression Number of Tokens,21.0
110,referencegame,folder,line_grids_rows,episode_00011,Aborted at Player 1,0.0
111,referencegame,folder,line_grids_rows,episode_00011,Aborted at Player 2,0.0
