,game,model,experiment,episode,metric,value
0,textmapworld,folder,large,episode_00021,Success,0.0
1,textmapworld,folder,large,episode_00021,Aborted,0.0
2,textmapworld,folder,large,episode_00021,Lose,1.0
3,textmapworld,folder,large,episode_00021,moves,2.0
4,textmapworld,folder,large,episode_00021,valid_moves,2.0
5,textmapworld,folder,large,episode_00021,invalid_moves,0.0
6,textmapworld,folder,large,episode_00021,stopped,1.0
7,textmapworld,folder,large,episode_00021,turns_limit,0.0
8,textmapworld,folder,large,episode_00021,loops,0.0
9,textmapworld,folder,large,episode_00021,number_visited,1.0
10,textmapworld,folder,large,episode_00021,seen,2.0
11,textmapworld,folder,large,episode_00021,efficiency,0.0
12,textmapworld,folder,large,episode_00021,exploration,12.5
13,textmapworld,folder,large,episode_00021,Main Score,0.0
14,textmapworld,folder,large,episode_00022,Success,0.0
15,textmapworld,folder,large,episode_00022,Aborted,0.0
16,textmapworld,folder,large,episode_00022,Lose,1.0
17,textmapworld,folder,large,episode_00022,moves,2.0
18,textmapworld,folder,large,episode_00022,valid_moves,2.0
19,textmapworld,folder,large,episode_00022,invalid_moves,0.0
20,textmapworld,folder,large,episode_00022,stopped,1.0
21,textmapworld,folder,large,episode_00022,turns_limit,0.0
22,textmapworld,folder,large,episode_00022,loops,0.0
23,textmapworld,folder,large,episode_00022,number_visited,1.0
24,textmapworld,folder,large,episode_00022,seen,2.0
25,textmapworld,folder,large,episode_00022,efficiency,0.0
26,textmapworld,folder,large,episode_00022,exploration,12.5
27,textmapworld,folder,large,episode_00022,Main Score,0.0
28,textmapworld,folder,large,episode_00023,Success,0.0
29,textmapworld,folder,large,episode_00023,Aborted,0.0
30,textmapworld,folder,large,episode_00023,Lose,1.0
31,textmapworld,folder,large,episode_00023,moves,2.0
32,textmapworld,folder,large,episode_00023,valid_moves,2.0
33,textmapworld,folder,large,episode_00023,invalid_moves,0.0
34,textmapworld,folder,large,episode_00023,stopped,1.0
35,textmapworld,folder,large,episode_00023,turns_limit,0.0
36,textmapworld,folder,large,episode_00023,loops,0.0
37,textmapworld,folder,large,episode_00023,number_visited,1.0
38,textmapworld,folder,large,episode_00023,seen,2.0
39,textmapworld,folder,large,episode_00023,efficiency,0.0
40,textmapworld,folder,large,episode_00023,exploration,12.5
41,textmapworld,folder,large,episode_00023,Main Score,0.0
42,textmapworld,folder,large,episode_00024,Success,0.0
43,textmapworld,folder,large,episode_00024,Aborted,0.0
44,textmapworld,folder,large,episode_00024,Lose,1.0
45,textmapworld,folder,large,episode_00024,moves,3.0
46,textmapworld,folder,large,episode_00024,valid_moves,3.0
47,textmapworld,folder,large,episode_00024,invalid_moves,0.0
48,textmapworld,folder,large,episode_00024,stopped,1.0
49,textmapworld,folder,large,episode_00024,turns_limit,0.0
50,textmapworld,folder,large,episode_00024,loops,1.0
51,textmapworld,folder,large,episode_00024,number_visited,1.0
52,textmapworld,folder,large,episode_00024,seen,2.0
53,textmapworld,folder,large,episode_00024,efficiency,0.0
54,textmapworld,folder,large,episode_00024,exploration,12.5
55,textmapworld,folder,large,episode_00024,Main Score,0.0
56,textmapworld,folder,large,episode_00025,Success,0.0
57,textmapworld,folder,large,episode_00025,Aborted,0.0
58,textmapworld,folder,large,episode_00025,Lose,1.0
59,textmapworld,folder,large,episode_00025,moves,2.0
60,textmapworld,folder,large,episode_00025,valid_moves,2.0
61,textmapworld,folder,large,episode_00025,invalid_moves,0.0
62,textmapworld,folder,large,episode_00025,stopped,1.0
63,textmapworld,folder,large,episode_00025,turns_limit,0.0
64,textmapworld,folder,large,episode_00025,loops,0.0
65,textmapworld,folder,large,episode_00025,number_visited,1.0
66,textmapworld,folder,large,episode_00025,seen,2.0
67,textmapworld,folder,large,episode_00025,efficiency,0.0
68,textmapworld,folder,large,episode_00025,exploration,12.5
69,textmapworld,folder,large,episode_00025,Main Score,0.0
70,textmapworld,folder,large,episode_00026,Success,0.0
71,textmapworld,folder,large,episode_00026,Aborted,0.0
72,textmapworld,folder,large,episode_00026,Lose,1.0
73,textmapworld,folder,large,episode_00026,moves,2.0
74,textmapworld,folder,large,episode_00026,valid_moves,2.0
75,textmapworld,folder,large,episode_00026,invalid_moves,0.0
76,textmapworld,folder,large,episode_00026,stopped,1.0
77,textmapworld,folder,large,episode_00026,turns_limit,0.0
78,textmapworld,folder,large,episode_00026,loops,0.0
79,textmapworld,folder,large,episode_00026,number_visited,1.0
80,textmapworld,folder,large,episode_00026,seen,3.0
81,textmapworld,folder,large,episode_00026,efficiency,0.0
82,textmapworld,folder,large,episode_00026,exploration,12.5
83,textmapworld,folder,large,episode_00026,Main Score,0.0
84,textmapworld,folder,large,episode_00027,Success,0.0
85,textmapworld,folder,large,episode_00027,Aborted,0.0
86,textmapworld,folder,large,episode_00027,Lose,1.0
87,textmapworld,folder,large,episode_00027,moves,3.0
88,textmapworld,folder,large,episode_00027,valid_moves,3.0
89,textmapworld,folder,large,episode_00027,invalid_moves,0.0
90,textmapworld,folder,large,episode_00027,stopped,1.0
91,textmapworld,folder,large,episode_00027,turns_limit,0.0
92,textmapworld,folder,large,episode_00027,loops,1.0
93,textmapworld,folder,large,episode_00027,number_visited,1.0
94,textmapworld,folder,large,episode_00027,seen,2.0
95,textmapworld,folder,large,episode_00027,efficiency,0.0
96,textmapworld,folder,large,episode_00027,exploration,12.5
97,textmapworld,folder,large,episode_00027,Main Score,0.0
98,textmapworld,folder,large,episode_00028,Success,0.0
99,textmapworld,folder,large,episode_00028,Aborted,0.0
100,textmapworld,folder,large,episode_00028,Lose,1.0
101,textmapworld,folder,large,episode_00028,moves,2.0
102,textmapworld,folder,large,episode_00028,valid_moves,2.0
103,textmapworld,folder,large,episode_00028,invalid_moves,0.0
104,textmapworld,folder,large,episode_00028,stopped,1.0
105,textmapworld,folder,large,episode_00028,turns_limit,0.0
106,textmapworld,folder,large,episode_00028,loops,0.0
107,textmapworld,folder,large,episode_00028,number_visited,1.0
108,textmapworld,folder,large,episode_00028,seen,3.0
109,textmapworld,folder,large,episode_00028,efficiency,0.0
110,textmapworld,folder,large,episode_00028,exploration,12.5
111,textmapworld,folder,large,episode_00028,Main Score,0.0
112,textmapworld,folder,large,episode_00029,Success,0.0
113,textmapworld,folder,large,episode_00029,Aborted,0.0
114,textmapworld,folder,large,episode_00029,Lose,1.0
115,textmapworld,folder,large,episode_00029,moves,3.0
116,textmapworld,folder,large,episode_00029,valid_moves,3.0
117,textmapworld,folder,large,episode_00029,invalid_moves,0.0
118,textmapworld,folder,large,episode_00029,stopped,1.0
119,textmapworld,folder,large,episode_00029,turns_limit,0.0
120,textmapworld,folder,large,episode_00029,loops,1.0
121,textmapworld,folder,large,episode_00029,number_visited,1.0
122,textmapworld,folder,large,episode_00029,seen,3.0
123,textmapworld,folder,large,episode_00029,efficiency,0.0
124,textmapworld,folder,large,episode_00029,exploration,12.5
125,textmapworld,folder,large,episode_00029,Main Score,0.0
126,textmapworld,folder,large,episode_00030,Success,0.0
127,textmapworld,folder,large,episode_00030,Aborted,0.0
128,textmapworld,folder,large,episode_00030,Lose,1.0
129,textmapworld,folder,large,episode_00030,moves,3.0
130,textmapworld,folder,large,episode_00030,valid_moves,3.0
131,textmapworld,folder,large,episode_00030,invalid_moves,0.0
132,textmapworld,folder,large,episode_00030,stopped,1.0
133,textmapworld,folder,large,episode_00030,turns_limit,0.0
134,textmapworld,folder,large,episode_00030,loops,1.0
135,textmapworld,folder,large,episode_00030,number_visited,1.0
136,textmapworld,folder,large,episode_00030,seen,2.0
137,textmapworld,folder,large,episode_00030,efficiency,0.0
138,textmapworld,folder,large,episode_00030,exploration,12.5
139,textmapworld,folder,large,episode_00030,Main Score,0.0
140,textmapworld,folder,large_cycle,episode_00041,Success,0.0
141,textmapworld,folder,large_cycle,episode_00041,Aborted,0.0
142,textmapworld,folder,large_cycle,episode_00041,Lose,1.0
143,textmapworld,folder,large_cycle,episode_00041,moves,2.0
144,textmapworld,folder,large_cycle,episode_00041,valid_moves,2.0
145,textmapworld,folder,large_cycle,episode_00041,invalid_moves,0.0
146,textmapworld,folder,large_cycle,episode_00041,stopped,1.0
147,textmapworld,folder,large_cycle,episode_00041,turns_limit,0.0
148,textmapworld,folder,large_cycle,episode_00041,loops,0.0
149,textmapworld,folder,large_cycle,episode_00041,number_visited,1.0
150,textmapworld,folder,large_cycle,episode_00041,seen,5.0
151,textmapworld,folder,large_cycle,episode_00041,efficiency,0.0
152,textmapworld,folder,large_cycle,episode_00041,exploration,12.5
153,textmapworld,folder,large_cycle,episode_00041,Main Score,0.0
154,textmapworld,folder,large_cycle,episode_00042,Success,0.0
155,textmapworld,folder,large_cycle,episode_00042,Aborted,0.0
156,textmapworld,folder,large_cycle,episode_00042,Lose,1.0
157,textmapworld,folder,large_cycle,episode_00042,moves,3.0
158,textmapworld,folder,large_cycle,episode_00042,valid_moves,3.0
159,textmapworld,folder,large_cycle,episode_00042,invalid_moves,0.0
160,textmapworld,folder,large_cycle,episode_00042,stopped,1.0
161,textmapworld,folder,large_cycle,episode_00042,turns_limit,0.0
162,textmapworld,folder,large_cycle,episode_00042,loops,1.0
163,textmapworld,folder,large_cycle,episode_00042,number_visited,1.0
164,textmapworld,folder,large_cycle,episode_00042,seen,3.0
165,textmapworld,folder,large_cycle,episode_00042,efficiency,0.0
166,textmapworld,folder,large_cycle,episode_00042,exploration,12.5
167,textmapworld,folder,large_cycle,episode_00042,Main Score,0.0
168,textmapworld,folder,large_cycle,episode_00043,Success,0.0
169,textmapworld,folder,large_cycle,episode_00043,Aborted,0.0
170,textmapworld,folder,large_cycle,episode_00043,Lose,1.0
171,textmapworld,folder,large_cycle,episode_00043,moves,3.0
172,textmapworld,folder,large_cycle,episode_00043,valid_moves,3.0
173,textmapworld,folder,large_cycle,episode_00043,invalid_moves,0.0
174,textmapworld,folder,large_cycle,episode_00043,stopped,1.0
175,textmapworld,folder,large_cycle,episode_00043,turns_limit,0.0
176,textmapworld,folder,large_cycle,episode_00043,loops,1.0
177,textmapworld,folder,large_cycle,episode_00043,number_visited,1.0
178,textmapworld,folder,large_cycle,episode_00043,seen,4.0
179,textmapworld,folder,large_cycle,episode_00043,efficiency,0.0
180,textmapworld,folder,large_cycle,episode_00043,exploration,12.5
181,textmapworld,folder,large_cycle,episode_00043,Main Score,0.0
182,textmapworld,folder,large_cycle,episode_00044,Success,0.0
183,textmapworld,folder,large_cycle,episode_00044,Aborted,0.0
184,textmapworld,folder,large_cycle,episode_00044,Lose,1.0
185,textmapworld,folder,large_cycle,episode_00044,moves,3.0
186,textmapworld,folder,large_cycle,episode_00044,valid_moves,3.0
187,textmapworld,folder,large_cycle,episode_00044,invalid_moves,0.0
188,textmapworld,folder,large_cycle,episode_00044,stopped,1.0
189,textmapworld,folder,large_cycle,episode_00044,turns_limit,0.0
190,textmapworld,folder,large_cycle,episode_00044,loops,1.0
191,textmapworld,folder,large_cycle,episode_00044,number_visited,1.0
192,textmapworld,folder,large_cycle,episode_00044,seen,2.0
193,textmapworld,folder,large_cycle,episode_00044,efficiency,0.0
194,textmapworld,folder,large_cycle,episode_00044,exploration,12.5
195,textmapworld,folder,large_cycle,episode_00044,Main Score,0.0
196,textmapworld,folder,large_cycle,episode_00045,Success,0.0
197,textmapworld,folder,large_cycle,episode_00045,Aborted,0.0
198,textmapworld,folder,large_cycle,episode_00045,Lose,1.0
199,textmapworld,folder,large_cycle,episode_00045,moves,3.0
200,textmapworld,folder,large_cycle,episode_00045,valid_moves,3.0
201,textmapworld,folder,large_cycle,episode_00045,invalid_moves,0.0
202,textmapworld,folder,large_cycle,episode_00045,stopped,1.0
203,textmapworld,folder,large_cycle,episode_00045,turns_limit,0.0
204,textmapworld,folder,large_cycle,episode_00045,loops,1.0
205,textmapworld,folder,large_cycle,episode_00045,number_visited,1.0
206,textmapworld,folder,large_cycle,episode_00045,seen,4.0
207,textmapworld,folder,large_cycle,episode_00045,efficiency,0.0
208,textmapworld,folder,large_cycle,episode_00045,exploration,12.5
209,textmapworld,folder,large_cycle,episode_00045,Main Score,0.0
210,textmapworld,folder,large_cycle,episode_00046,Success,0.0
211,textmapworld,folder,large_cycle,episode_00046,Aborted,0.0
212,textmapworld,folder,large_cycle,episode_00046,Lose,1.0
213,textmapworld,folder,large_cycle,episode_00046,moves,3.0
214,textmapworld,folder,large_cycle,episode_00046,valid_moves,3.0
215,textmapworld,folder,large_cycle,episode_00046,invalid_moves,0.0
216,textmapworld,folder,large_cycle,episode_00046,stopped,1.0
217,textmapworld,folder,large_cycle,episode_00046,turns_limit,0.0
218,textmapworld,folder,large_cycle,episode_00046,loops,1.0
219,textmapworld,folder,large_cycle,episode_00046,number_visited,1.0
220,textmapworld,folder,large_cycle,episode_00046,seen,4.0
221,textmapworld,folder,large_cycle,episode_00046,efficiency,0.0
